race_true,race_pred,sex_true,sex_pred,age_true,age_pred,emotion_pred
asian,asian,male,male,50-59,30-39,neutral
indian,latino hispanic,female,female,30-39,30-39,sad
indian,asian,female,male,20-29,30-39,neutral
middle eastern,middle eastern,male,male,40-49,30-39,neutral
white,white,male,male,10-19,20-29,sad
asian,asian,male,male,50-59,20-29,angry
asian,asian,male,male,20-29,20-29,fear
latino hispanic,asian,male,male,20-29,30-39,fear
indian,indian,male,male,10-19,30-39,neutral
white,white,female,female,30-39,30-39,sad
asian,asian,female,male,20-29,30-39,neutral
asian,asian,male,male,40-49,40-49,neutral
black,asian,female,male,0-2,30-39,neutral
asian,asian,male,male,50-59,40-49,angry
indian,indian,female,male,20-29,30-39,happy
middle eastern,indian,female,male,30-39,30-39,neutral
white,white,female,female,30-39,20-29,happy
white,white,female,male,50-59,30-39,happy
black,black,female,male,20-29,20-29,angry
black,black,female,male,40-49,40-49,angry
middle eastern,middle eastern,male,male,40-49,30-39,happy
asian,asian,male,male,20-29,30-39,happy
middle eastern,middle eastern,female,male,60-69,20-29,surprise
latino hispanic,white,female,male,20-29,30-39,happy
latino hispanic,asian,male,male,30-39,30-39,sad
middle eastern,middle eastern,male,male,50-59,40-49,happy
latino hispanic,latino hispanic,female,female,20-29,30-39,neutral
white,white,male,male,20-29,20-29,sad
asian,asian,female,male,10-19,40-49,happy
latino hispanic,black,male,male,40-49,40-49,neutral
indian,black,female,male,10-19,20-29,angry
middle eastern,asian,female,female,3-9,20-29,neutral
black,latino hispanic,female,male,50-59,40-49,angry
asian,asian,female,female,3-9,10-19,neutral
latino hispanic,black,male,male,60-69,30-39,neutral
asian,black,male,male,50-59,30-39,happy
asian,asian,female,male,30-39,20-29,neutral
asian,black,male,male,30-39,30-39,neutral
white,white,male,male,30-39,30-39,neutral
black,black,male,male,20-29,20-29,happy
latino hispanic,white,female,male,40-49,40-49,sad
latino hispanic,black,female,male,10-19,30-39,happy
asian,asian,male,male,3-9,20-29,neutral
indian,asian,male,male,10-19,20-29,neutral
indian,indian,male,male,40-49,30-39,happy
asian,asian,male,male,30-39,30-39,happy
latino hispanic,black,male,male,30-39,20-29,happy
latino hispanic,black,female,male,10-19,20-29,sad
white,middle eastern,male,male,60-69,50-59,neutral
asian,asian,male,male,50-59,30-39,sad
indian,black,male,male,30-39,30-39,sad
latino hispanic,middle eastern,male,male,30-39,40-49,neutral
latino hispanic,white,female,male,30-39,20-29,neutral
asian,asian,female,female,20-29,30-39,happy
middle eastern,latino hispanic,female,male,20-29,20-29,happy
latino hispanic,asian,male,male,40-49,30-39,neutral
white,white,male,male,30-39,30-39,sad
indian,middle eastern,male,male,30-39,30-39,happy
white,white,male,male,40-49,20-29,neutral
white,asian,female,female,20-29,30-39,happy
indian,indian,male,male,40-49,30-39,neutral
indian,middle eastern,male,male,50-59,30-39,neutral
latino hispanic,middle eastern,male,male,30-39,30-39,happy
asian,white,female,male,0-2,30-39,neutral
